,condition,url
2144,ACL (Anterior Cruciate Ligament) Injuries,https://www.drugs.com/health-guide/acl-anterior-cruciate-ligament-injuries.html
2145,ACL Injury,https://www.drugs.com/cg/acl-injury.html
2146,ACL Injury in Children,https://www.drugs.com/cg/acl-injury-in-children.html
1115,ADHD,https://www.drugs.com/cg/adhd-in-adults.html
1116,ADHD in Children,https://www.drugs.com/cg/adhd-in-children.html
1117,AIDS,https://www.drugs.com/cg/aids.html
310,ARC (HIV Infection),https://www.drugs.com/cg/hiv-infection.html
311,ARDS,https://www.drugs.com/mcd/ards
312,ARDS (Acute Respiratory Distress Syndrome),https://www.drugs.com/cg/ards-acute-respiratory-distress-syndrome.html
313,ARDS (Respiratory Distress Syndrome),https://www.drugs.com/condition/respiratory-distress-syndrome.html
1107,Abdominal Pain,https://www.drugs.com/cg/abdominal-pain.html
1108,Abscess,https://www.drugs.com/cg/abscess.html
1109,Abuse of Alcohol,https://www.drugs.com/cg/abuse-of-alcohol.html
2125,Acanthosis Nigricans,https://www.drugs.com/cg/acanthosis-nigricans.html
2126,Acanthosis Nigricans in Children,https://www.drugs.com/cg/acanthosis-nigricans-in-children.html
2127,Accelerating Angina,https://www.drugs.com/cg/angina.html
2128,Accidental Bowel Leakage,https://www.drugs.com/health-guide/fecal-incontinence.html
2130,Acetaminophen Overdose,https://www.drugs.com/cg/acetaminophen-overdose.html
2131,Acetaminophen Toxicity,https://www.drugs.com/cg/acetaminophen-overdose.html
2129,Acetaminophen and Ibuprofen Dosing in Children,https://www.drugs.com/cg/acetaminophen-and-ibuprofen-dosing-in-children.html
2132,Achalasia,https://www.drugs.com/health-guide/achalasia.html
2133,Achilles Tendinitis,https://www.drugs.com/cg/achilles-tendinitis.html
2134,Achilles Tendinitis Exercises,https://www.drugs.com/cg/achilles-tendinitis-exercises.html
2135,Achilles Tendon Lengthening,https://www.drugs.com/cg/achilles-tendon-lengthening.html
2136,Achilles Tendon Repair,https://www.drugs.com/cg/achilles-tendon-repair.html
2137,Achilles Tendon Rupture,https://www.drugs.com/cg/achilles-tendon-rupture.html
2138,Achlorhydria,https://www.drugs.com/condition/achlorhydria.html
2139,Acid Reflux,https://www.drugs.com/cg/gastroesophageal-reflux-disease.html
1110,Acidosis,https://www.drugs.com/condition/acidosis.html
2140,Acidosis,https://www.drugs.com/condition/acidosis.html
2141,"Acidosis, Lactic",https://www.drugs.com/condition/acidosis.html
2142,"Acidosis, Respiratory",https://www.drugs.com/condition/acidosis.html
2143,Acinetobacter Baumannii Infection,https://www.drugs.com/cg/acinetobacter-baumannii-infection.html
2147,Acne,https://www.drugs.com/cg/acne.html
1111,Acne,https://www.drugs.com/cg/acne.html
2148,Acne Rosacea,https://www.drugs.com/cg/rosacea.html
2149,Acne Vulgaris,https://www.drugs.com/cg/acne.html
2150,Acoustic Neuroma,https://www.drugs.com/cg/acoustic-neuroma.html
2151,Acoustic Neuroma Microsurgery,https://www.drugs.com/cg/acoustic-neuroma-microsurgery-aftercare-instructions.html
2152,Acquired Cytomegalovirus,https://www.drugs.com/cg/acquired-cytomegalovirus.html
2153,Acquired Hypothyroidism in Children,https://www.drugs.com/cg/acquired-hypothyroidism-in-children.html
2154,Acquired Immune Deficiency Syndrome,https://www.drugs.com/cg/hiv-infection.html
2155,Acquired Immunodeficiency Syndrome,https://www.drugs.com/cg/acquired-immunodeficiency-syndrome.html
2156,Acquired Methemoglobinemia,https://www.drugs.com/condition/methemoglobinemia.html
2157,Acquired Von Willebrand Syndrome,https://www.drugs.com/cg/acquired-von-willebrand-syndrome.html
2158,Acromegaly,https://www.drugs.com/cg/acromegaly.html
2159,Acromelalgia,https://www.drugs.com/condition/erythromelalgia.html
2160,Acromioclavicular Joint Reconstruction,https://www.drugs.com/cg/acromioclavicular-joint-reconstruction.html
2161,Acromioclavicular Separation,https://www.drugs.com/cg/acromioclavicular-separation.html
2162,Actinic Keratosis,https://www.drugs.com/cg/actinic-keratosis.html
2163,Actinomycosis,https://www.drugs.com/condition/actinomycosis.html
2164,Activated Charcoal,https://www.drugs.com/cg/activated-charcoal.html
