condition,drugName,mean_p
ADHD,Adderall,0.072265062
ADHD,Adderall XR,0.042711603
ADHD,Adzenys XR-ODT,0.011478535
ADHD,Amantadine,0.011010932
ADHD,Amphetamine,0.015798152
ADHD,Amphetamine / dextroamphetamine,0.048405412
ADHD,Aptensio XR,0.005841488
ADHD,Armodafinil,0.034384029
ADHD,Atomoxetine,0.05271993
ADHD,Bupropion,0.083316737
ADHD,Catapres,0.044367268
ADHD,Clonidine,0.059960577
ADHD,Concerta,0.063161716
ADHD,Cylert,0.014603719
ADHD,Daytrana,0.031922648
ADHD,Desoxyn,0.131309099
ADHD,Desvenlafaxine,0.00605451
ADHD,Dexedrine,0.068528174
ADHD,Dexmethylphenidate,0.043686352
ADHD,Dextroamphetamine,0.052326137
ADHD,Dextrostat,0.045271528
ADHD,Dyanavel XR,0.018022077
ADHD,Evekeo,0.01307988
ADHD,Focalin,0.04903783
ADHD,Focalin XR,0.046054015
ADHD,Guanfacine,0.073582268
ADHD,Intuniv,0.08183544
ADHD,Kapvay,0.131986569
ADHD,Lisdexamfetamine,0.047332728
ADHD,Metadate CD,0.038252603
ADHD,Methamphetamine,0.1027022
ADHD,Methylin,0.033965643
ADHD,Methylin ER,0.027672845
ADHD,Methylphenidate,0.042682697
ADHD,Modafinil,0.125010689
ADHD,Mydayis,0.016868217
ADHD,Nuvigil,0.048192272
ADHD,Omega-3 polyunsaturated fatty acids,0.040890413
ADHD,Pemoline,0.008762231
ADHD,ProCentra,0.00197706
ADHD,Quillivant XR,0.014264488
ADHD,Ritalin,0.062967142
ADHD,Ritalin LA,0.032165955
ADHD,Ritalin-SR,0.00282178
ADHD,Strattera,0.055759805
ADHD,Vyvanse,0.045870462
ADHD,Wellbutrin,0.311878647
ADHD,Wellbutrin SR,0.048192272
ADHD,Wellbutrin XL,0.100926606
ADHD,Zenzedi,0.008882838
AIDS Related Wasting,Somatropin,6.692133427
Abdominal Distension,Bethanechol,19.55730021
Abnormal Uterine Bleeding,Alesse,0.014790995
Abnormal Uterine Bleeding,Alyacen 1 / 35,0.004690363
Abnormal Uterine Bleeding,Apri,0.005244781
Abnormal Uterine Bleeding,Aviane,0.008721651
Abnormal Uterine Bleeding,Camila,0.066478068
Abnormal Uterine Bleeding,CamreseLo,0.005599102
Abnormal Uterine Bleeding,Cryselle,0.011198345
Abnormal Uterine Bleeding,Depo-Provera,0.033772616
Abnormal Uterine Bleeding,Desogestrel / ethinyl estradiol,0.00708699
Abnormal Uterine Bleeding,Errin,0.008450908
Abnormal Uterine Bleeding,Estarylla,0.010064377
Abnormal Uterine Bleeding,Ethinyl estradiol / ethynodiol,0
Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,0
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,0.015067756
Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,0.0147218
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,0.014510583
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,0.00624168
Abnormal Uterine Bleeding,Gildess Fe 1 / 20,0
Abnormal Uterine Bleeding,Jolessa,0.002734641
Abnormal Uterine Bleeding,Jolivette,0.047465407
Abnormal Uterine Bleeding,Junel Fe 1 / 20,0.005052254
Abnormal Uterine Bleeding,Levonorgestrel,0.037676639
Abnormal Uterine Bleeding,Levora,0.008949015
Abnormal Uterine Bleeding,Lo / Ovral-28,0.015119485
Abnormal Uterine Bleeding,LoSeasonique,0.026095571
Abnormal Uterine Bleeding,Loestrin 21 1 / 20,0.01113891
Abnormal Uterine Bleeding,Loestrin 24 Fe,0.030239581
Abnormal Uterine Bleeding,Lyza,0.022803457
Abnormal Uterine Bleeding,Medroxyprogesterone,0.038279183
Abnormal Uterine Bleeding,Megestrol,0.037913738
Abnormal Uterine Bleeding,Mestranol / norethindrone,0.001873498
Abnormal Uterine Bleeding,Microgestin Fe 1 / 20,0.009733632
